"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"08:10:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:10:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:11:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:11:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:11:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:12:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:12:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:12:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:13:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:13:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:13:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:14:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:14:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:14:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:15:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:15:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:15:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:16:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:16:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:16:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:17:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:17:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:17:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:18:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:18:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:18:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:19:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:19:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:19:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:20:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:20:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:20:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:21:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:21:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:21:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:22:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:22:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:22:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:23:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:23:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:23:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:24:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:24:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:24:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:25:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:25:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:25:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:26:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:26:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:26:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:27:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:27:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:27:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:28:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:28:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:28:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:29:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:29:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:29:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:30:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:30:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:30:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:31:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:31:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:31:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:32:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:32:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:32:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:33:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:33:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:33:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:34:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:34:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:34:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:35:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:35:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:35:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:36:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:36:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:36:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:37:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:37:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:37:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:38:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:38:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:38:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:39:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:39:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:39:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:40:10 AM",NA,NA,NA,"209","1.5","2.55","5","NBA"
"08:40:27 AM",NA,NA,NA,"209","1.5","2.55","5","NBA"
"08:40:56 AM",NA,NA,NA,"209","1.5","2.55","5","NBA"
"08:41:15 AM",NA,NA,NA,"209","1.5","2.55","5","NBA"
"08:41:33 AM",NA,NA,NA,"209","1.5","2.55","5","NBA"
"08:41:59 AM",NA,NA,NA,"208.5","1.44","2.7","5","NBA"
"08:42:25 AM",NA,NA,NA,"208.5","1.44","2.7","5","NBA"
"08:42:36 AM","11:43 1st",NA,NA,"207.5","1.4","2.85","5","NBA"
"08:42:52 AM","11:04 1st",NA,NA,"207.5","1.4","2.85","5","NBA"
"08:43:15 AM","11:04 1st",NA,NA,"205.5","1.4","2.85","5","NBA"
"08:43:32 AM","10:35 1st",NA,NA,"205.5","1.4","2.85","5","NBA"
