"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"09:11:16 AM","Hornets",NA,NA,NA,NA,NA,NA,"NBA"
"09:12:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:12:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:12:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:13:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:13:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:13:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:14:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:14:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:14:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:15:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:15:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:15:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:16:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:16:23 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:16:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:17:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:17:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:17:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:18:02 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:18:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:18:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:19:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:20:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:20:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:20:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:20:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:21:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:21:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:21:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:22:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:22:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:22:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
