"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"07:40:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:40:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:40:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:41:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:41:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:41:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:42:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:42:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:42:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:43:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:43:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:43:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:44:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:44:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:44:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:45:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:45:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:45:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:46:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:46:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:46:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:47:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:47:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:47:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:48:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:48:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:48:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:49:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:49:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:49:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:50:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:50:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:50:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:51:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:51:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:51:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:52:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:52:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:52:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:53:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:53:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:53:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:54:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:54:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:54:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:55:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:55:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:55:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:56:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:56:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:56:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:57:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:57:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:57:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:58:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:58:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:58:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:59:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:59:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:59:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:00:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:00:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:00:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:01:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:01:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:01:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:02:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:02:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:02:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:03:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:03:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:03:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:04:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:04:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:04:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:05:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:05:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:05:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:06:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:06:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:06:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:07:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:07:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:07:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:08:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:08:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:08:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:09:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
