"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"07:40:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:41:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:41:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:41:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:42:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:42:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:42:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:43:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:43:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:43:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:44:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:44:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:44:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:45:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:45:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:45:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:46:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:46:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:46:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:47:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:47:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:47:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:48:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:48:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:48:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:49:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:49:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:49:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:50:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:50:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:50:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:51:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:51:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:51:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:52:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:52:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:52:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:53:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:53:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:53:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:54:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:54:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:54:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:55:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:55:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:55:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:56:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:56:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:56:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:57:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:57:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:57:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:58:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:58:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:58:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:59:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:59:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:59:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:00:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:00:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:00:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:01:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:01:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:01:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:02:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:02:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:02:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:03:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:03:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:03:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:04:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:04:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:04:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:05:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:05:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:05:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:06:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:06:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:06:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:07:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:07:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:07:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:08:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:08:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:08:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:09:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:09:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:09:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:10:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:10:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
